Invoice ID ,BRANCH,City,customer type,Gender  ,Product Line,Unit Price (GHS),Quantity,Tax 5%,Total,Date,Payment,cogs,gross margin percentage,gross income,Rating
108-82-1803,A,Yangon,Normal,Female,Home and lifestyle,36.63 GHS,5.0,9.1575,192.31,2/9/2019,Credit card,183.15,4.761904762,9.1575,
794-94-3240,C,Naypyitaw,Normal,Female,Electronic accessories,64.64 GHS,6.0,19.392,407.23,3/9/2019,Cash,387.84,4.761904762,19.392,5.3
402-51-7807,C,Naypyitaw,Member,Male,Fashion accessories,80.97 GHS,1.0,4.0485,85.02,1/3/2019,Credit card,80.97,4.761904762,4.0485,7.5
944-71-5835,A,Yangon,Member,Male,Home and lifestyle,88.88 GHS,6.0,26.664,559.94,1/9/2019,Ewallet,533.28,4.761904762,26.664,7.2
790-60-6992,C,Naypyitaw,Normal,Male,Health and beauty,96.66 GHS,3.0,14.499,,"March 24, 2019",Cash,289.98,4.761904762,14.499,8.5
698-58-7086,,Yangon,Normal,Male,Fashion accessories,58.29 GHS,8.0,23.316,489.64,3/9/2019,Credit card,466.32,4.761904762,23.316,6.2
164-91-8606,,Yangon,Member,Female,Food and beverages,65.76 GHS,9.0,29.592,621.43,1/21/2019,Credit card,591.84,4.761904762,29.592,6.0
340-78-3222,C,Naypyitaw,Normal,Female,Food and beverages,22.58 GHS,1.0,1.129,23.71,1/4/2019,Ewallet,22.58,4.761904762,1.129,5.8
524-93-2622,B,Mandalay,Normal,,Sports and travel,95.44 GHS,9.0,42.948,901.91,3/5/2019,Credit card,858.96,4.761904762,42.948,6.5
802-57-9920,B,Mandalay,,Female,Food and beverages,72.13 GHS,4.0,14.426,302.95,"February 4, 2019",Cash,288.52,4.761904762,14.426,6.7
317-92-1349,C,Naypyitaw,normal,Male,Health and beauty,34.83 GHS,2.0,3.483,73.14,1/22/2019,Ewallet,69.66,4.761904762,3.483,9.7
321-39-6383,,Yangon,normal,Male,Electronic accessories,80.83 GHS,4.0,16.166,339.49,1/19/2019,Credit card,323.32,4.761904762,16.166,
987-13-3159,A,Yangon,Member,Female,Electronic accessories,98.88 GHS,9.0,44.496,934.42,1/22/2019,Cash,889.92,4.761904762,44.496,5.5
638-24-2041,A,Yangon,Normal,Male,Home and lifestyle,39.14 GHS,3.0,5.871,123.29,3/14/2019,Cash,117.42,4.761904762,5.871,5.6
902-94-9543,B,Mandalay,Normal,Female,Home and lifestyle,63.43 GHS,8.0,25.372,532.81,1/24/2019,Credit card,507.44,4.761904762,25.372,7.0
554-19-2323,B,Mandalay,Normal,Male,Food and beverages,99.87 GHS,7.0,34.9545,734.04,"February 23, 2019",Cash,699.09,4.761904762,34.9545,6.6
643-47-8433,B,Mandalay,Member,Male,Electronic accessories,34.75 GHS,10.0,17.375,364.88,2/20/2019,Ewallet,347.5,4.761904762,17.375,7.3
333-62-6553,C,Naypyitaw,normal,Male,Sports and travel,20.3 GHS,9.0,9.135,191.84,"February 15, 2019",Cash,182.7,4.761904762,9.135,8.3
803-70-2099,B,Mandalay,Normal,Female,Sports and travel,18.56 GHS,7.0,6.496,136.42,2/5/2019,Ewallet,129.92,4.761904762,6.496,5.9
675-81-6400,A,Yangon,Member,,Health and beauty,18.69 GHS,6.0,5.607,117.75,"January 19, 2019",Credit card,112.14,4.761904762,5.607,8.9
714-49-6761,C,Naypyitaw,Member,Female,Fashion accessories,88.62 GHS,7.0,31.017,651.36,1/10/2019,Credit card,620.34,4.761904762,31.017,9.2
880-45-4705,A,Yangon,Member,Male,Sports and travel,53.4 GHS,2.0,5.34,112.14,2/4/2019,Credit card,106.8,4.761904762,5.34,6.1
990-28-7566,B,Mandalay,Member,Female,Food and beverages,26.24 GHS,5.0,6.56,137.76,1/6/2019,Ewallet,131.2,4.761904762,6.56,9.5
478-49-6314,A,Yangon,Member,Male,Food and beverages,77.15 GHS,4.0,15.43,324.03,2/6/2019,Ewallet,308.6,4.761904762,15.43,6.3
777-64-8957,C,Naypyitaw,Member,Male,Electronic accessories,24.17 GHS,10.0,12.085,253.79,"February 15, 2019",Cash,241.7,4.761904762,12.085,4.3
794-96-8972,C,Naypyitaw,Normal,FEMALE,Fashion accessories,29.4 GHS,9.0,13.23,277.83,1/10/2019,Ewallet,264.6,4.761904762,13.23,4.7
885-27-5186,C,Naypyitaw,Normal,Male,Electronic accessories,45.57 GHS,10.0,22.785,478.49,2/7/2019,Cash,455.7,4.761904762,22.785,4.3
335-74-6802,B,Mandalay,Normal,Male,Food and beverages,54.76 GHS,7.0,19.166,402.49,3/23/2019,Ewallet,383.32,4.761904762,19.166,5.1
514-91-7843,A,Yangon,Normal,Male,Health and beauty,11.69 GHS,2.0,1.169,24.55,2/19/2019,Credit card,23.38,4.761904762,1.169,9.2
806-56-2443,B,Mandalay,Member,Female,Food and beverages,96.96 GHS,3.0,14.544,305.42,2/27/2019,Credit card,290.88,4.761904762,14.544,8.8
326-52-3754,B,Mandalay,,Male,Health and beauty,63.0 GHS,9.0,28.35,595.35,3/11/2019,Ewallet,567.0,4.761904762,28.35,4.5
277-87-3504,A,Yangon,Member,Male,Fashion accessories,41.6 GHS,3.0,6.24,,"February 7, 2019",Cash,124.8,4.761904762,6.24,5.4
758-91-6295,C,Naypyitaw,Member,Male,Sports and travel,54.47 GHS,10.0,27.235,571.94,3/19/2019,Ewallet,544.7,4.761904762,27.235,8.6
460-74-2215,,Naypyitaw,Normal,Male,Health and beauty,16.15 GHS,8.0,6.46,135.66,3/2/2019,Ewallet,129.2,4.761904762,6.46,7.8
619-59-8581,,Mandalay,Normal,Female,Food and beverages,15.12 GHS,5.0,3.78,79.38,3/20/2019,Cash,75.6,4.761904762,3.78,4.5
561-23-6626,C,Naypyitaw,member,Female,Home and lifestyle,68.67 GHS,-5.0,20.601,432.62,1/2/2019,Credit card,412.02,4.761904762,20.601,7.6
262-56-7108,C,Naypyitaw,Member,Male,Food and beverages,32.3 GHS,8.0,12.92,271.32,3/20/2019,Credit card,258.4,4.761904762,12.92,9.9
437-22-7333,B,Mandalay,Normal,Female,Fashion accessories,71.1 GHS,1.0,3.555,74.66,"February 3, 2019",Credit card,71.1,4.761904762,3.555,8.7
778-60-3112,B,Mandalay,Normal,Male,Fashion accessories,17.34 GHS,3.0,2.601,54.62,"March 23, 2019",Ewallet,52.02,4.761904762,2.601,9.5
856-97-9624,C,Naypyitaw,Member,Female,Home and lifestyle,43.9 GHS,6.0,13.17,,3/27/2019,Credit card,263.4,4.761904762,13.17,
331-27-3538,A,Yangon,Normal,Female,Food and beverages,42.63 GHS,3.0,6.3945,134.28,2/7/2019,Ewallet,127.89,4.761904762,6.3945,9.7
711-58-3527,,Yangon,Normal,MALE,Home and lifestyle,79.38 GHS,9.0,35.721,750.14,3/5/2019,Ewallet,714.42,4.761904762,35.721,
725-46-8355,A,Yangon,Member,Male,Sports and travel,49.39 GHS,7.0,17.2865,363.02,"January 15, 2019",Credit card,345.73,4.761904762,17.2865,6.2
887-46-7256,A,Yangon,,Female,Health and beauty,91.36 GHS,4.0,18.272,383.71,2/15/2019,Credit card,365.44,4.761904762,18.272,6.2
995-57-2680,C,Naypyitaw,Normal,Male,Electronic accessories,82.11 GHS,3.0,12.3165,258.65,3/16/2019,Cash,246.33,4.761904762,12.3165,9.2
547-21-4637,,Naypyitaw,Member,Female,Food and beverages,78.68 GHS,5.0,19.67,413.07,1/27/2019,Credit card,393.4,4.761904762,19.67,6.7
329-13-6221,B,Mandalay,Normal,Male,Health and beauty,14.79 GHS,9.0,6.6555,139.77,1/12/2019,Ewallet,133.11,4.761904762,6.6555,6.2
559-88-1086,A,Yangon,Normal,Male,Electronic accessories,13.45 GHS,8.0,5.38,112.98,3/16/2019,Cash,107.6,4.761904762,5.38,8.2
213-46-4893,A,Yangon,Member,Female,Electronic accessories,85.15 GHS,9.0,38.3175,,"March 14, 2019",Credit card,766.35,4.761904762,38.3175,9.6
648-12-9443,B,Mandalay,Member,MALE,Electronic accessories,47.78 GHS,10.0,23.89,501.69,"February 20, 2019",Cash,477.8,4.761904762,23.89,6.7
780-95-2402,,Naypyitaw,Member,Male,Fashion accessories,48.63 GHS,10.0,24.315,510.62,"February 6, 2019",Credit card,486.3,4.761904762,24.315,6.1
750-59-7116,C,Naypyitaw,Normal,Male,Home and lifestyle,58.97 GHS,9.0,26.5365,557.27,"February 2, 2019",Ewallet,530.73,4.761904762,26.5365,7.3
145-55-9945,B,Mandalay,Member,Female,Food and beverages,41.03 GHS,2.0,4.103,,2/5/2019,Credit card,82.06,4.761904762,4.103,8.6
568-14-5807,B,Mandalay,Member,Female,Sports and travel,53.07 GHS,3.0,7.9605,,3/25/2019,Cash,159.21,4.761904762,7.9605,8.9
137-92-4131,A,Yangon,Member,Male,Food and beverages,38.4 GHS,5.0,9.6,201.6,2/9/2019,Credit card,192.0,4.761904762,9.6,
550-59-6554,B,Mandalay,normal,,Sports and travel,39.87 GHS,2.0,3.987,83.73,"February 24, 2019",Ewallet,79.74,4.761904762,3.987,8.8
180-65-3956,A,Yangon,Normal,Female,Fashion accessories,93.19 GHS,9.0,41.9355,880.65,3/14/2019,Cash,838.71,4.761904762,41.9355,5.6
270-98-8272,C,Naypyitaw,Normal,Female,Food and beverages,17.21 GHS,5.0,4.3025,90.35,3/14/2019,Credit card,86.05,4.761904762,4.3025,5.8
910-17-2229,B,Mandalay,Normal,,Sports and travel,88.3 GHS,6.0,26.49,556.29,"February 21, 2019",Ewallet,529.8,4.761904762,26.49,7.7
900-66-1570,C,Naypyitaw,Normal,Female,Home and lifestyle,82.1 GHS,-3.0,12.315,258.62,3/22/2019,Cash,246.3,4.761904762,12.315,
795-67-7077,A,Yangon,Member,Male,Sports and travel,42.97 GHS,7.0,15.0395,315.83,3/5/2019,Cash,300.79,4.761904762,15.0395,9.7
216-13-4048,B,Mandalay,Normal,Male,Home and lifestyle,22.39 GHS,6.0,6.717,141.06,2/8/2019,Credit card,134.34,4.761904762,6.717,6.4
602-35-3009,B,Mandalay,Normal,,Fashion accessories,79.75 GHS,8.0,31.9,669.9,2/23/2019,Credit card,638.0,4.761904762,31.9,5.3
455-18-9882,A,Yangon,Member,,Electronic accessories,90.88 GHS,8.0,36.352,763.39,2/22/2019,Credit card,727.04,4.761904762,36.352,10.0
305-27-4878,B,Mandalay,Normal,Male,Sports and travel,73.86 GHS,3.0,11.079,232.66,1/4/2019,Credit card,221.58,4.761904762,11.079,8.8
188-18-6067,B,Mandalay,Member,Female,Home and lifestyle,61.5 GHS,8.0,24.6,516.6,1/20/2019,Credit card,492.0,4.761904762,24.6,8.8
560-69-9476,B,Mandalay,Normal,Female,Health and beauty,84.1 GHS,2.0,8.41,176.61,3/3/2019,Ewallet,168.2,4.761904762,8.41,4.8
268-30-6286,B,Mandalay,Member,Male,Electronic accessories,48.94 GHS,1.0,2.447,51.39,1/10/2019,Credit card,48.94,4.761904762,2.447,9.0
228-90-5961,C,Naypyitaw,Member,Female,Home and lifestyle,90.54 GHS,2.0,9.054,190.13,3/9/2019,Credit card,181.08,4.761904762,9.054,5.5
445-82-1674,C,Naypyitaw,Member,Male,Home and lifestyle,94.74 GHS,3.0,14.211,298.43,3/20/2019,Credit card,284.22,4.761904762,14.211,5.0
754-13-9159,A,Yangon,Member,Male,Sports and travel,79.39 GHS,5.0,19.8475,416.8,2/20/2019,Credit card,396.95,4.761904762,19.8475,7.9
261-66-7809,C,Naypyitaw,,Female,Health and beauty,32.04 GHS,7.0,11.214,235.49,3/2/2019,Cash,224.28,4.761904762,11.214,5.8
453-61-3142,B,Mandalay,,Male,Fashion accessories,64.6 GHS,6.0,19.38,406.98,"March 28, 2019",Ewallet,387.6,4.761904762,19.38,9.2
397-59-7850,B,Mandalay,Member,Female,Electronic accessories,51.98 GHS,5.0,12.995,272.89,1/2/2019,Cash,259.9,4.761904762,12.995,6.7
610-49-9148,A,Yangon,Member,Female,Home and lifestyle,74.9 GHS,4.0,14.98,314.58,3/15/2019,Ewallet,299.6,4.761904762,14.98,8.6
388-73-8710,A,Yangon,,Female,Home and lifestyle,51.15 GHS,4.0,10.23,214.83,1/2/2019,Ewallet,204.6,4.761904762,10.23,5.3
510-16-4189,B,Mandalay,Member,Male,Health and beauty,22.05 GHS,5.0,5.5125,115.76,2/2/2019,Ewallet,110.25,4.761904762,5.5125,8.4
221-26-2584,B,Mandalay,,Male,Health and beauty,55.38 GHS,9.0,24.921,523.34,3/20/2019,Credit card,498.42,4.761904762,24.921,5.7
141-15-1637,B,Mandalay,Normal,Female,Home and lifestyle,94.51 GHS,3.0,14.1765,,2/17/2019,Credit card,283.53,4.761904762,14.1765,5.2
426-30-7438,A,Yangon,Normal,FEMALE,Home and lifestyle,51.13 GHS,10.0,25.565,536.87,2/20/2019,Cash,511.3,4.761904762,25.565,9.4
935-12-7035,,Naypyitaw,normal,Female,Home and lifestyle,84.55 GHS,9.0,38.0475,799.0,2/16/2019,Credit card,760.95,4.761904762,38.0475,6.9
894-84-4728,B,Mandalay,member,Female,Home and lifestyle,37.69 GHS,1.0,1.8845,39.57,3/26/2019,Ewallet,37.69,4.761904762,1.8845,
797-41-1517,C,Naypyitaw,Member,Female,Electronic accessories,57.18 GHS,10.0,28.59,600.39,"January 27, 2019",Ewallet,571.8,4.761904762,28.59,8.6
613-88-8726,C,Naypyitaw,Member,Male,Food and beverages,49.69 GHS,7.0,17.3915,365.22,1/14/2019,Credit card,347.83,4.761904762,17.3915,4.9
421-32-8531,C,Naypyitaw,,Male,Home and lifestyle,28.66 GHS,6.0,8.598,180.56,3/13/2019,Ewallet,171.96,4.761904762,8.598,10.0
671-48-4684,C,Naypyitaw,Normal,Female,Sports and travel,79.48 GHS,5.0,19.87,,1/9/2019,Cash,397.4,4.761904762,19.87,7.7
394-25-9899,B,Mandalay,Normal,Male,Sports and travel,73.45 GHS,6.0,22.035,462.74,"March 9, 2019",Credit card,440.7,4.761904762,22.035,6.9
771-42-8849,B,Mandalay,Normal,Female,Electronic accessories,36.14 GHS,5.0,9.035,189.73,2/15/2019,Cash,180.7,4.761904762,9.035,9.7
